,Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,power_per_rpm,torque_per_rpm,Age
518,Maruti Suzuki,160000,72000,Petrol,Manual,Kanpur,Silver,First,Individual,998.0,FWD,3545.0,1490.0,1475.0,5.0,35.0,0.011166666666666667,0.025714285714285714,11
519,Maruti Suzuki,150000,65000,Petrol,Manual,Lucknow,White,First,Individual,796.0,,3495.0,1475.0,1460.0,5.0,35.0,,,11
520,Mercedes-Benz,8300000,50000,Diesel,Automatic,Navi Mumbai,White,First,Individual,1950.0,AWD,4924.0,2157.0,1772.0,5.0,93.0,0.05738095238095238,0.3125,2
521,Audi,1685000,80251,Diesel,Automatic,Delhi,Blue,Second,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,0.041428571428571426,0.21714285714285714,6
522,Hyundai,270000,86000,Petrol,Manual,Chennai,Grey,Second,Individual,1197.0,FWD,3565.0,1595.0,1550.0,5.0,35.0,,,12
523,Maruti Suzuki,210000,42505,Petrol,Manual,Purnea,Red,First,Individual,796.0,FWD,3395.0,1490.0,1475.0,5.0,35.0,0.007833333333333333,0.019714285714285715,8
524,Hyundai,625000,42000,Petrol,Manual,Patna,Silver,First,Individual,1197.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.013666666666666667,0.02875,5
525,BMW,6900000,42200,Diesel,Automatic,Mumbai,Black,First,Individual,2993.0,RWD,5219.0,1902.0,1481.0,4.0,78.0,0.0655,0.31,5
526,Kia,1490000,57600,Petrol,Automatic,Chennai,White,First,Individual,1353.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,0.023,0.16133333333333333,3
527,Mahindra,1095000,57000,Diesel,Manual,Lucknow,Black,First,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,0.0408,0.2057142857142857,4
528,Ford,850000,85000,Diesel,Automatic,Zirakpur,Black,First,Individual,2953.0,AWD,5060.0,1788.0,1826.0,7.0,71.0,0.048125,0.152,8
529,Hyundai,1600000,128000,Diesel,Automatic,Pune,White,Second,Other,1995.0,FWD,4475.0,1850.0,1660.0,5.0,62.0,0.0455,0.22857142857142856,6
530,Toyota,265000,66000,Petrol,Manual,Delhi,Black,First,Individual,1496.0,FWD,4265.0,1695.0,1510.0,5.0,45.0,0.014285714285714285,0.044,11
531,Volkswagen,360000,58000,Petrol,Manual,Chandigarh,Other,First,Individual,1598.0,FWD,4384.0,1699.0,1466.0,5.0,55.0,0.01961904761904762,0.04026315789473684,9
532,Maruti Suzuki,350000,89445,Diesel,Manual,Hyderabad,Grey,First,Individual,1248.0,,3715.0,1680.0,1620.0,5.0,43.0,,,10
533,Toyota,1485000,64120,Diesel,Manual,Delhi,White,Second,Individual,2982.0,RWD,4705.0,1840.0,1850.0,7.0,80.0,0.04694444444444444,0.245,7
534,Maruti Suzuki,800000,82300,Petrol,Manual,Pune,White,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.015166666666666667,0.0325,5
535,Maruti Suzuki,710000,73000,Diesel,Manual,Lucknow,White,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,5
536,Maruti Suzuki,710000,72000,Diesel,Manual,Lucknow,Blue,First,Individual,1598.0,FWD,4300.0,1765.0,1590.0,5.0,48.0,0.031466666666666664,0.18285714285714286,4
537,Volkswagen,720000,50197,Petrol,Manual,Pune,Grey,First,Individual,999.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,0.012096774193548387,0.03166666666666667,4
538,Honda,395000,44527,Petrol,Manual,Mumbai,Brown,First,Individual,1198.0,FWD,3990.0,1680.0,1505.0,5.0,35.0,0.0145,0.02422222222222222,8
539,Audi,2799000,72400,Diesel,Automatic,Bangalore,White,First,Individual,1968.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,0.04476190476190476,0.22857142857142856,5
540,Ford,455000,50000,Petrol,Manual,Delhi,White,Second,Individual,1499.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,0.0173015873015873,0.031818181818181815,8
541,Honda,690000,37000,Petrol,Manual,Delhi,White,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.017727272727272727,0.03152173913043478,8
542,Mercedes-Benz,13000000,20000,Diesel,Automatic,Delhi,Blue,First,Individual,2925.0,AWD,5207.0,2157.0,1823.0,7.0,90.0,0.09055555555555556,0.5833333333333334,1
543,Tata,1995000,8000,Diesel,Automatic,Bhubaneswar,Black,First,Individual,1956.0,FWD,4598.0,1894.0,1706.0,5.0,50.0,0.0448,0.2,2
544,BMW,1750000,69000,Diesel,Automatic,Jalandhar,White,Second,Individual,1995.0,RWD,4899.0,2094.0,1464.0,5.0,65.0,0.0475,0.22857142857142856,8
545,BMW,2900000,25000,Diesel,Automatic,Delhi,White,First,Individual,1995.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,0.046,0.2,3
546,BMW,4500000,17000,Diesel,Automatic,Mumbai,White,First,Individual,1995.0,RWD,4454.0,2044.0,1545.0,5.0,63.0,0.046,0.2,0
547,Honda,450000,61000,Petrol,Manual,Delhi,Maroon,First,Individual,1497.0,FWD,4440.0,1695.0,1485.0,5.0,42.0,0.017575757575757574,0.030416666666666668,9
548,BMW,2149000,69000,Diesel,Automatic,Delhi,Silver,First,Individual,1995.0,RWD,4936.0,1868.0,1479.0,5.0,65.0,0.047,0.22857142857142856,7
549,Mercedes-Benz,4200000,77000,Diesel,Automatic,Chennai,Black,Second,Individual,2987.0,AWD,5120.0,1934.0,1850.0,7.0,100.0,0.07166666666666667,0.386875,7
550,Tata,860000,82200,Diesel,Manual,Pune,Grey,First,Individual,1497.0,FWD,3994.0,1811.0,1607.0,5.0,44.0,0.0288,0.17333333333333334,4
551,Honda,875000,28000,Petrol,Manual,Delhi,Silver,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.017727272727272727,0.03152173913043478,4
552,Mahindra,580000,117000,Diesel,Manual,Salem,White,Second,Individual,2179.0,AWD,4430.0,1817.0,1975.0,7.0,60.0,,,11
553,MG,3500000,7900,Diesel,Automatic,Hyderabad,Black,First,Individual,1996.0,AWD,4985.0,1926.0,1867.0,6.0,75.0,0.05375,0.32,1
554,Maruti Suzuki,229999,72000,Petrol,Manual,Kanpur,Silver,First,Individual,1298.0,FWD,4160.0,1690.0,1530.0,5.0,43.0,,,12
555,Audi,1513000,79000,Diesel,Automatic,Ahmedabad,Blue,Second,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,0.041428571428571426,0.21714285714285714,7
556,Maruti Suzuki,234000,72600,Petrol,Manual,Panchkula,White,First,Individual,998.0,FWD,3620.0,1475.0,1460.0,5.0,35.0,0.010806451612903226,0.025714285714285714,9
557,Datsun,320000,42313,Petrol,Automatic,Bangalore,Grey,Second,Individual,999.0,FWD,3429.0,1560.0,1541.0,5.0,28.0,0.012181818181818183,0.021411764705882352,4
558,BMW,5975000,18000,Diesel,Automatic,Delhi,White,First,Individual,1995.0,AWD,4657.0,1881.0,1678.0,5.0,67.0,0.0475,0.22857142857142856,1
559,Maruti Suzuki,1025000,90000,Diesel,Manual,Hyderabad,White,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,3
560,Maruti Suzuki,169000,18500,Petrol,Manual,Lucknow,Other,First,Individual,796.0,,3495.0,1475.0,1460.0,5.0,35.0,,,12
561,Maruti Suzuki,630000,36000,Diesel,Manual,Patna,Blue,First,Individual,1248.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,0.0185,0.095,5
562,Hyundai,1090000,26200,Petrol,Automatic,Delhi,White,First,Individual,998.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,0.019666666666666666,0.11466666666666667,2
563,Maruti Suzuki,700000,11000,Petrol,Manual,Chennai,Silver,Second,Individual,1197.0,FWD,3840.0,1735.0,1530.0,5.0,37.0,0.013666666666666667,0.026904761904761904,3
564,Maruti Suzuki,661000,14366,Petrol,Manual,Ahmedabad,Other,First,Individual,1197.0,FWD,3845.0,1735.0,1530.0,5.0,37.0,0.014833333333333334,0.02568181818181818,1
565,Tata,250999,98000,Diesel,Manual,Mumbai,Silver,First,Individual,2179.0,,4421.0,1780.0,1940.0,7.0,65.0,,,11
566,Mahindra,565000,65000,Diesel,Manual,Delhi,Red,Second,Individual,1493.0,RWD,3995.0,1835.0,1839.0,7.0,60.0,0.0224,0.15333333333333332,5
567,Toyota,750000,126000,Diesel,Manual,Delhi,Silver,First,Individual,2494.0,RWD,4585.0,1760.0,1760.0,7.0,55.0,0.027777777777777776,0.14285714285714285,8
568,Audi,1850000,71700,Diesel,Automatic,Navi Mumbai,White,Second,Individual,1968.0,AWD,4385.0,1831.0,1608.0,5.0,64.0,0.041428571428571426,0.21714285714285714,7
569,Mahindra,850000,114000,Diesel,Manual,Lucknow,White,First,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,0.0368,0.20625,6
570,Hyundai,535000,58339,Diesel,Manual,Panchkula,Grey,First,Individual,1396.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.02225,0.14666666666666667,6
571,Volkswagen,345000,50667,Petrol,Automatic,Mumbai,White,Second,Individual,,,,,,,,,,11
572,Maruti Suzuki,770000,72040,Diesel,Automatic,Pune,Silver,First,Individual,1248.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,0.0185,0.095,3
573,BMW,3650000,6000,Petrol,Automatic,Delhi,White,First,Individual,1998.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,0.047692307692307694,0.2413793103448276,3
574,Kia,1195000,6200,Petrol,Manual,Kolkata,Red,First,Individual,998.0,FWD,3995.0,1790.0,1647.0,5.0,45.0,0.019666666666666666,0.11466666666666667,0
575,Mercedes-Benz,1650000,44000,Petrol,Automatic,Mumbai,Silver,Third,Individual,5461.0,RWD,5226.0,2120.0,1479.0,5.0,90.0,0.058412698412698416,0.11477272727272728,10
576,Skoda,3199000,6900,Petrol,Automatic,Kolkata,Brown,First,Individual,1798.0,FWD,4861.0,1864.0,1483.0,5.0,66.0,0.03470588235294118,0.2,1
577,Mercedes-Benz,7100000,2500,Petrol,Automatic,Noida,Grey,First,Individual,1991.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,0.033448275862068964,0.1875,0
578,Volkswagen,625000,68000,Petrol,Automatic,Delhi,White,First,Individual,1197.0,FWD,3971.0,1682.0,1469.0,5.0,45.0,0.0206,0.11666666666666667,6
579,Maruti Suzuki,745000,36000,Diesel,Manual,Patna,White,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,4
580,Hyundai,551000,19000,Petrol,Manual,Ahmedabad,White,First,Individual,1086.0,FWD,3610.0,1645.0,1560.0,5.0,35.0,0.012363636363636363,0.022,1
581,Mercedes-Benz,5950000,10000,Diesel,Automatic,Chennai,White,First,Individual,1950.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,0.05052631578947368,0.25,3
582,Land Rover,22000000,35000,Diesel,Automatic,Pune,Blue,First,Individual,2993.0,AWD,4999.0,2220.0,1835.0,5.0,105.0,0.061,0.3,3
583,MINI,3300000,6400,Diesel,Automatic,Delhi,Red,First,Individual,1496.0,FWD,3821.0,1727.0,1414.0,5.0,44.0,0.0285,0.15428571428571428,3
584,Ford,3250000,34000,Diesel,Automatic,Chennai,White,First,Individual,3198.0,AWD,4903.0,1869.0,1837.0,7.0,80.0,0.06566666666666666,0.26857142857142857,3
585,Renault,690000,35000,Diesel,Automatic,Delhi,Grey,Second,Individual,1461.0,FWD,4315.0,1822.0,1695.0,5.0,50.0,0.027692307692307693,0.11022222222222222,6
586,Maruti Suzuki,894999,46000,Diesel,Automatic,Mumbai,White,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,3
587,Skoda,550000,83000,Diesel,Manual,Chandigarh,White,First,Individual,1598.0,FWD,4386.0,1699.0,1466.0,5.0,55.0,0.023863636363636365,0.1,6
588,Ford,399000,54000,Diesel,Manual,Mumbai,Other,Third,Individual,1498.0,FWD,3999.0,1765.0,1708.0,5.0,52.0,0.023733333333333332,0.102,9
589,Kia,1275000,42000,Petrol,Manual,Ahmedabad,Black,First,Individual,1497.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,0.017936507936507938,0.032,2
590,Maruti Suzuki,535000,41441,Petrol,Manual,Bangalore,Silver,First,Individual,1196.0,RWD,3675.0,1475.0,1800.0,5.0,40.0,0.012166666666666666,0.033666666666666664,2
591,Maruti Suzuki,825000,48174,Diesel,Manual,Thane,White,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,4
592,Ford,585000,62591,Diesel,Manual,Mumbai,Silver,First,Individual,1498.0,FWD,3998.0,1765.0,1647.0,5.0,52.0,0.0264,0.11714285714285715,6
593,Honda,675000,48650,Petrol,Automatic,Mumbai,Brown,First,Individual,1199.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,0.014833333333333334,0.022916666666666665,5
594,Maruti Suzuki,795000,52245,Diesel,Manual,Pune,Brown,First,Individual,1248.0,FWD,4300.0,1785.0,1595.0,5.0,48.0,0.02225,0.11428571428571428,5
595,Mercedes-Benz,6500000,7500,Petrol,Automatic,Delhi,Black,First,Individual,1991.0,RWD,5063.0,1860.0,1494.0,5.0,80.0,0.033448275862068964,0.1875,1
596,Hyundai,611000,65000,Diesel,Manual,Kheda,White,First,Individual,1396.0,FWD,3985.0,1734.0,1505.0,5.0,45.0,0.02225,0.14666666666666667,5
597,Maruti Suzuki,390000,43297,Petrol,Manual,Kollam,Red,First,Individual,998.0,FWD,3599.0,1495.0,1700.0,5.0,35.0,0.010806451612903226,0.025714285714285714,7
598,Maruti Suzuki,650000,44710,Petrol,Manual,Pune,White,First,Individual,1197.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,0.013833333333333333,0.02875,3
599,Renault,390000,62000,Diesel,Manual,Lucknow,Silver,First,Individual,1461.0,FWD,4618.0,1813.0,1488.0,5.0,67.0,0.027,0.12972972972972974,9
600,Audi,2400000,59267,Diesel,Automatic,Kolkata,Silver,First,Individual,1968.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,0.04476190476190476,0.22857142857142856,5
601,Maruti Suzuki,385000,69000,Petrol,Manual,Hyderabad,Silver,First,Individual,1197.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,0.014166666666666666,0.0285,11
602,Maruti Suzuki,450000,75000,Petrol,Manual,Kanpur,White,First,Other,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.013833333333333333,0.02875,5
603,Hyundai,649000,52236,Petrol,Manual,Udupi,Silver,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,2
604,Skoda,3499000,47000,Diesel,Automatic,Mumbai,White,First,Individual,,,4697.0,1882.0,1665.0,7.0,63.0,,,2
605,Audi,2900000,15530,Diesel,Automatic,Goa,White,First,Individual,1968.0,FWD,4456.0,1796.0,1416.0,5.0,50.0,0.040285714285714286,0.18285714285714286,3
606,Maruti Suzuki,400000,64000,Diesel,Manual,Agra,White,First,Individual,1248.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.0185,0.095,8
607,Hyundai,599000,35000,Petrol,Automatic,Kolkata,Silver,First,Individual,1197.0,FWD,3805.0,1680.0,1520.0,5.0,37.0,0.013666666666666667,0.0285,2
608,Toyota,2980000,92000,Diesel,Manual,Lucknow,Black,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,0.051176470588235295,0.2625,3
609,Audi,3500000,18000,Petrol,Automatic,Mumbai,White,First,Individual,1395.0,FWD,4726.0,1842.0,1427.0,5.0,54.0,0.0296,0.16666666666666666,4
610,Honda,400000,50000,Petrol,Manual,Kolkata,Red,First,Individual,1199.0,FWD,3955.0,1694.0,1544.0,5.0,40.0,0.014833333333333334,0.022916666666666665,6
611,Mercedes-Benz,6975000,2000,Petrol,Automatic,Karnal,White,First,Individual,1991.0,RWD,4658.0,1890.0,1644.0,5.0,66.0,0.035272727272727275,0.19393939393939394,0
612,Audi,745000,72000,Diesel,Automatic,Gurgaon,Black,First,Individual,,,,,,,,,,9
613,Mercedes-Benz,5400000,16000,Diesel,Automatic,Karnal,White,First,Individual,2143.0,AWD,4819.0,2141.0,1796.0,5.0,93.0,0.052894736842105265,0.3125,6
614,Mercedes-Benz,3700000,103890,Diesel,Automatic,Lucknow,Black,Second,Individual,2987.0,AWD,5120.0,1934.0,1850.0,7.0,100.0,0.07166666666666667,0.386875,7
615,Maruti Suzuki,445000,71000,Petrol,Manual,Ludhiana,White,First,Individual,998.0,FWD,3600.0,1600.0,1560.0,5.0,35.0,0.011166666666666667,0.025714285714285714,4
616,Mahindra,1475000,12000,Diesel,Manual,Ludhiana,Red,First,Individual,2184.0,AWD,3985.0,1820.0,1844.0,4.0,57.0,0.034666666666666665,0.1875,1
617,Toyota,2800000,93000,Diesel,Automatic,Mohali,White,First,Individual,2755.0,RWD,4795.0,1855.0,1835.0,7.0,80.0,0.051176470588235295,0.28125,6
618,Hyundai,190000,63000,Petrol,Manual,Ludhiana,White,Second,Individual,814.0,,3495.0,1550.0,1500.0,5.0,32.0,,,9
619,Maruti Suzuki,600000,10000,Petrol,Manual,Meerut,White,First,Individual,1197.0,FWD,3850.0,1695.0,1530.0,5.0,42.0,0.013833333333333333,0.02875,2
620,Kia,1835000,33828,Diesel,Automatic,Mumbai,White,First,Individual,1493.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,0.0285,0.16666666666666666,2
621,Maruti Suzuki,550000,48000,Other,Manual,Mumbai,Silver,First,Individual,998.0,FWD,3655.0,1620.0,1675.0,5.0,60.0,0.010545454545454545,0.022285714285714287,3
622,Maruti Suzuki,715000,71000,Diesel,Manual,Delhi,Red,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,5
623,Mahindra,2540000,18000,Diesel,Automatic,Delhi,White,First,Individual,2184.0,FWD,4695.0,1890.0,1755.0,7.0,60.0,0.052,0.2571428571428571,0
624,Maruti Suzuki,525000,50000,Other,Manual,Delhi,Grey,First,Individual,998.0,FWD,3655.0,1620.0,1675.0,5.0,60.0,0.010545454545454545,0.022285714285714287,3
625,Hyundai,425000,48000,Petrol,Manual,Delhi,Silver,First,Individual,1197.0,FWD,3765.0,1660.0,1520.0,5.0,43.0,0.0135,0.0285,7
626,Hyundai,795000,4000,Petrol,Automatic,Kanpur,White,First,Individual,1197.0,FWD,3995.0,1775.0,1505.0,5.0,37.0,0.0145,0.07666666666666666,0
627,Honda,269000,73000,Petrol,Manual,Delhi,Silver,Second,Individual,1497.0,FWD,4420.0,1695.0,1480.0,5.0,42.0,,,12
628,Toyota,1450000,170669,Diesel,Automatic,Mumbai,White,First,Individual,2982.0,,4705.0,1840.0,1850.0,7.0,80.0,,,9
629,Hyundai,565000,68000,Diesel,Manual,Lucknow,White,First,Individual,1582.0,FWD,4370.0,1700.0,1475.0,5.0,43.0,0.032,0.1368421052631579,8
630,BMW,2550000,70000,Diesel,Automatic,Coimbatore,Blue,Second,Individual,1995.0,RWD,4899.0,2094.0,1464.0,5.0,65.0,0.0475,0.22857142857142856,7
631,Hyundai,529000,57654,Petrol,Manual,Zirakpur,White,First,Individual,1197.0,FWD,3995.0,1760.0,1555.0,5.0,45.0,0.013666666666666667,0.02875,7
632,Maruti Suzuki,400000,22000,Petrol,Manual,Ludhiana,White,First,Individual,998.0,FWD,3545.0,1490.0,1475.0,5.0,35.0,0.011166666666666667,0.025714285714285714,3
633,Volkswagen,360000,80000,Diesel,Manual,Chandigarh,White,Second,Individual,,,,,,,,,,10
634,Maruti Suzuki,975000,41792,Petrol,Manual,Pune,Blue,First,Individual,1462.0,FWD,4445.0,1775.0,1700.0,6.0,45.0,0.017166666666666667,0.031363636363636364,3
635,BMW,2600000,41000,Diesel,Automatic,Hyderabad,Blue,First,Individual,1995.0,FWD,4439.0,1821.0,1612.0,5.0,51.0,0.047,0.22857142857142856,5
636,Mercedes-Benz,2390000,107021,Diesel,Automatic,Delhi,White,Second,Individual,2987.0,AWD,5120.0,1934.0,1850.0,7.0,100.0,0.07166666666666667,0.386875,9
637,Kia,1550000,17000,Petrol,Manual,Bangalore,White,First,Individual,1353.0,FWD,4315.0,1800.0,1645.0,5.0,50.0,0.023,0.16133333333333333,3
638,Maruti Suzuki,430000,57993,Petrol,Automatic,Hyderabad,White,First,Individual,998.0,FWD,3545.0,1490.0,1475.0,5.0,35.0,0.011166666666666667,0.025714285714285714,3
639,Tata,1275000,18000,Other,Automatic,Hyderabad,Grey,First,Individual,,FWD,3993.0,1677.0,1532.0,5.0,,,,1
640,Maruti Suzuki,600000,32000,Petrol,Manual,Mohali,Silver,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.013833333333333333,0.02875,4
641,Toyota,1650000,25914,Petrol,Automatic,Pune,Brown,First,Other,1798.0,FWD,4620.0,1775.0,1475.0,5.0,55.0,0.0215625,0.04325,4
642,Jaguar,3350000,49235,Diesel,Automatic,Bangalore,Other,First,Individual,,,,,,,,,,8
643,Audi,9400000,4500,Petrol,Automatic,Delhi,Black,First,Individual,2995.0,AWD,5064.0,1970.0,1703.0,7.0,85.0,0.06442307692307692,0.36496350364963503,0
644,Maruti Suzuki,250000,114000,Petrol,Manual,Aurangabad,White,Second,Individual,998.0,FWD,3620.0,1475.0,1460.0,5.0,35.0,0.010806451612903226,0.025714285714285714,8
645,Mahindra,994999,105000,Diesel,Automatic,Mumbai,Grey,Second,Individual,2179.0,FWD,4585.0,1890.0,1785.0,7.0,70.0,0.0368,0.20625,6
646,Maruti Suzuki,675000,45000,Diesel,Manual,Jalandhar,Red,First,Individual,1248.0,FWD,3995.0,1790.0,1640.0,5.0,48.0,0.02225,0.11428571428571428,6
647,Maruti Suzuki,455000,30183,Petrol,Manual,Mumbai,Grey,First,Individual,1197.0,FWD,3995.0,1695.0,1555.0,5.0,42.0,0.014166666666666666,0.0285,8
648,Volkswagen,375000,78000,Diesel,Manual,Raipur,Grey,Third,Individual,,,,,,,,,,10
649,Maruti Suzuki,345000,73190,Petrol,Manual,Nagpur,Grey,Second,Individual,998.0,FWD,3599.0,1495.0,1700.0,5.0,35.0,0.010806451612903226,0.025714285714285714,6
650,BMW,4700000,13120,Petrol,Automatic,Pune,White,First,Individual,1998.0,FWD,4447.0,1821.0,1598.0,5.0,51.0,0.0378,0.2074074074074074,0
651,Hyundai,700000,64000,Petrol,Manual,Dehradun,White,First,Individual,1797.0,FWD,4530.0,1775.0,1470.0,5.0,56.0,0.022615384615384617,0.03765957446808511,8
652,Honda,499000,140000,Diesel,Manual,Hyderabad,White,First,Individual,1498.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.0275,0.11428571428571428,8
653,Maruti Suzuki,590000,39000,Petrol,Manual,Delhi,White,First,Individual,1373.0,FWD,4490.0,1730.0,1485.0,5.0,43.0,0.015166666666666667,0.0325,7
654,Nissan,490000,56918,Petrol,Automatic,Coimbatore,Blue,Second,Individual,1198.0,FWD,3825.0,1665.0,1530.0,5.0,41.0,0.012666666666666666,0.023636363636363636,8
655,Maruti Suzuki,695000,55000,Diesel,Automatic,Delhi,Grey,First,Individual,1248.0,FWD,3995.0,1735.0,1515.0,5.0,37.0,0.0185,0.095,4
656,Hyundai,1025000,42000,Diesel,Manual,Mumbai,Silver,First,Individual,1396.0,FWD,3995.0,1770.0,1605.0,5.0,45.0,0.02225,0.14666666666666667,3
657,Volkswagen,3375000,25000,Petrol,Automatic,Mumbai,Silver,First,Individual,1984.0,AWD,4701.0,1839.0,1674.0,7.0,60.0,0.04476190476190476,0.21333333333333335,1
658,Toyota,2250000,28000,Diesel,Manual,Pune,Maroon,First,Individual,2393.0,RWD,4735.0,1830.0,1795.0,8.0,55.0,0.04352941176470588,0.245,3
659,Mercedes-Benz,2650000,43000,Diesel,Automatic,Mumbai,Grey,Second,Individual,2143.0,FWD,4424.0,1804.0,1494.0,5.0,50.0,0.03722222222222222,0.1875,4
660,Maruti Suzuki,715000,16000,Petrol,Manual,Delhi,Grey,First,Individual,1197.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.013833333333333333,0.02875,1
661,Hyundai,1200000,27657,Diesel,Automatic,Kolkata,Grey,Second,Individual,1582.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,0.0315,0.17333333333333334,3
662,Hyundai,275000,30000,Petrol,Manual,Indore,White,First,Individual,998.0,FWD,3515.0,1500.0,1510.0,5.0,32.0,0.01096774193548387,0.026857142857142857,10
663,Honda,445000,111000,Petrol,Manual,Ernakulam,Red,First,Individual,1497.0,FWD,4440.0,1695.0,1485.0,5.0,42.0,0.017575757575757574,0.030416666666666668,10
664,Mercedes-Benz,1850000,37600,Diesel,Automatic,Pune,Red,First,Individual,2143.0,FWD,4299.0,1780.0,1433.0,4.0,50.0,0.03722222222222222,0.21428571428571427,6
665,Maruti Suzuki,665000,48000,Diesel,Manual,Delhi,Blue,First,Individual,1248.0,FWD,3995.0,1745.0,1500.0,5.0,37.0,0.0185,0.095,5
666,Hyundai,1090000,37000,Diesel,Manual,Hyderabad,Blue,First,Individual,1396.0,FWD,4270.0,1780.0,1665.0,5.0,55.0,0.02225,0.14666666666666667,3
667,Mercedes-Benz,5500000,54000,Diesel,Automatic,Faridabad,White,First,Individual,2987.0,RWD,5246.0,1899.0,1494.0,5.0,70.0,0.07083333333333333,0.3875,7
668,Audi,2400000,81802,Diesel,Automatic,Nashik,Blue,Second,Individual,1968.0,FWD,4933.0,1874.0,1455.0,5.0,75.0,0.05,0.22857142857142856,5
669,Hyundai,1085000,45915,Diesel,Automatic,Mumbai,Black,First,Individual,1582.0,FWD,4440.0,1729.0,1475.0,5.0,45.0,0.0315,0.17333333333333334,4
670,Hyundai,2140000,24000,Petrol,Automatic,Mumbai,Grey,First,Individual,1999.0,FWD,4500.0,1790.0,1675.0,6.0,50.0,0.024153846153846154,0.042444444444444444,1
671,Honda,795000,22224,Petrol,Automatic,Pune,Grey,First,Individual,1199.0,FWD,3995.0,1695.0,1501.0,5.0,35.0,0.014833333333333334,0.022916666666666665,3
672,Maruti Suzuki,1080000,38000,Other,Manual,Delhi,White,First,Individual,1373.0,FWD,4296.0,1695.0,1685.0,7.0,45.0,0.015666666666666666,0.0325,1
673,Honda,628000,53848,Petrol,Manual,Delhi,Maroon,First,Individual,1199.0,FWD,3995.0,1695.0,1501.0,5.0,35.0,0.014833333333333334,0.022916666666666665,4
674,BMW,1550000,104264,Diesel,Automatic,Hyderabad,Red,Second,Individual,1995.0,RWD,4633.0,1811.0,1429.0,5.0,57.0,0.047,0.22857142857142856,9
675,Mercedes-Benz,2400000,61159,Petrol,Automatic,Mumbai,Black,Second,Individual,1991.0,RWD,4879.0,1854.0,1474.0,5.0,80.0,0.03345454545454545,0.25,6
676,Honda,595000,72000,Petrol,Manual,Meerut,Brown,First,Individual,1497.0,FWD,4440.0,1695.0,1495.0,5.0,40.0,0.017727272727272727,0.03152173913043478,7
677,Land Rover,3450000,29000,Diesel,Automatic,Delhi,Blue,First,Individual,2179.0,AWD,4465.0,1900.0,1635.0,5.0,57.0,0.053714285714285714,0.24,6
678,Honda,819999,42000,Petrol,Manual,Chennai,Maroon,First,Individual,1199.0,FWD,3999.0,1734.0,1601.0,5.0,40.0,0.014833333333333334,0.022916666666666665,4
